filename,duration,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,mfcc_mu_1,mfcc_mu_2,mfcc_mu_3,mfcc_mu_4,mfcc_mu_5,mfcc_mu_6,mfcc_mu_7,mfcc_mu_8,mfcc_mu_9,mfcc_mu_10,mfcc_mu_11,mfcc_mu_12,mfcc_mu_13,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,logmel_mu_band_1,logmel_mu_band_2,logmel_mu_band_3,logmel_mu_band_4,logmel_mu_band_5,logmel_mu_band_6,logmel_mu_band_7,logmel_mu_band_8,logmel_mu_band_9,logmel_mu_band_10,logmel_mu_band_11,logmel_mu_band_12,logmel_mu_band_13,logmel_mu_band_14,logmel_mu_band_15,logmel_mu_band_16,logmel_mu_band_17,logmel_mu_band_18,logmel_mu_band_19,logmel_mu_band_20,logmel_mu_band_21,logmel_mu_band_22,logmel_mu_band_23,logmel_mu_band_24,logmel_mu_band_25,logmel_mu_band_26,logmel_mu_band_27,logmel_mu_band_28,logmel_mu_band_29,logmel_mu_band_30,logmel_mu_band_31,logmel_mu_band_32,logmel_mu_band_33,logmel_mu_band_34,logmel_mu_band_35,logmel_mu_band_36,logmel_mu_band_37,logmel_mu_band_38,logmel_mu_band_39,logmel_mu_band_40,logmel_mu_band_41,logmel_mu_band_42,logmel_mu_band_43,logmel_mu_band_44,logmel_mu_band_45,logmel_mu_band_46,logmel_mu_band_47,logmel_mu_band_48,logmel_mu_band_49,logmel_mu_band_50,logmel_mu_band_51,logmel_mu_band_52,logmel_mu_band_53,logmel_mu_band_54,logmel_mu_band_55,logmel_mu_band_56,logmel_mu_band_57,logmel_mu_band_58,logmel_mu_band_59,logmel_mu_band_60,logmel_mu_band_61,logmel_mu_band_62,logmel_mu_band_63,logmel_mu_band_64,logmel_std_band_1,logmel_std_band_2,logmel_std_band_3,logmel_std_band_4,logmel_std_band_5,logmel_std_band_6,logmel_std_band_7,logmel_std_band_8,logmel_std_band_9,logmel_std_band_10,logmel_std_band_11,logmel_std_band_12,logmel_std_band_13,logmel_std_band_14,logmel_std_band_15,logmel_std_band_16,logmel_std_band_17,logmel_std_band_18,logmel_std_band_19,logmel_std_band_20,logmel_std_band_21,logmel_std_band_22,logmel_std_band_23,logmel_std_band_24,logmel_std_band_25,logmel_std_band_26,logmel_std_band_27,logmel_std_band_28,logmel_std_band_29,logmel_std_band_30,logmel_std_band_31,logmel_std_band_32,logmel_std_band_33,logmel_std_band_34,logmel_std_band_35,logmel_std_band_36,logmel_std_band_37,logmel_std_band_38,logmel_std_band_39,logmel_std_band_40,logmel_std_band_41,logmel_std_band_42,logmel_std_band_43,logmel_std_band_44,logmel_std_band_45,logmel_std_band_46,logmel_std_band_47,logmel_std_band_48,logmel_std_band_49,logmel_std_band_50,logmel_std_band_51,logmel_std_band_52,logmel_std_band_53,logmel_std_band_54,logmel_std_band_55,logmel_std_band_56,logmel_std_band_57,logmel_std_band_58,logmel_std_band_59,logmel_std_band_60,logmel_std_band_61,logmel_std_band_62,logmel_std_band_63,logmel_std_band_64,label
00000000.wav,10,0.01016147,0.001583597,0.040553949,0.007585475,1367.620837,96.59965857,1642.691216,49.5180975,2923.030547,210.8960515,-16.13249725,-1.237834527,-2.420558889,-0.035134515,-0.87105633,-0.24157007,-0.477745664,0.105962183,-0.425684436,-0.132951725,-0.466397107,-0.033510523,-0.24991596,0.584315525,0.384137576,0.191118,0.214921991,0.228303746,0.201402604,0.209872455,0.165350232,0.162773331,0.149671383,0.159644375,0.132952694,0.162657247,-6.631337676,-6.286898657,-6.501850965,-6.620971173,-6.468435351,-6.412797518,-6.745646885,-7.100620446,-6.986560071,-6.888032789,-7.032973503,-7.05100146,-7.246908271,-7.534940511,-7.570956388,-7.381366708,-7.251551846,-7.587912463,-7.73602409,-7.635002659,-7.565758834,-7.780726575,-7.876361184,-8.053360225,-7.908751718,-8.002441373,-8.075511698,-8.096900012,-8.271259309,-8.357793193,-8.232783381,-8.299818612,-8.357782904,-8.342721324,-8.371587776,-8.592671293,-8.572786518,-8.605118023,-8.597420275,-8.698253548,-8.843244348,-8.834669933,-8.889561436,-9.064001142,-9.074106207,-9.124358638,-9.131247335,-9.214349569,-9.293505664,-9.378131402,-9.51111135,-9.552088774,-9.579790931,-9.607859921,-9.675785849,-9.734711718,-9.779853919,-9.797233417,-9.946905022,-10.09587645,-10.2506553,-10.33041232,-10.340307,-10.45447111,0.366478093,0.381575719,0.316788158,0.35244026,0.376820793,0.378674753,0.322120359,0.318916231,0.343176149,0.406010776,0.31767365,0.275379181,0.26148899,0.273638464,0.272724318,0.270227449,0.283274033,0.262710493,0.242157783,0.238581577,0.34122864,0.280837121,0.281206423,0.232266093,0.290584456,0.216739779,0.248036548,0.239435134,0.216354983,0.203880511,0.233934902,0.216358744,0.19376995,0.195466778,0.206349701,0.19205779,0.187220908,0.186531365,0.241717589,0.178060794,0.174820996,0.182077585,0.186810512,0.153757466,0.159223686,0.171515016,0.147464829,0.150474841,0.149990532,0.159651264,0.149863771,0.147375512,0.137474135,0.143426268,0.142324233,0.14560072,0.135176439,0.162188548,0.188819598,0.128358409,0.136696859,0.135786738,0.120680139,0.145674071,1
00000001.wav,10,0.009903711,0.00129893,0.04509872,0.008108254,1654.548203,88.93890208,1957.119022,42.1036234,3825.462219,217.6491016,-15.4206064,-2.823588993,-1.011771492,-0.64216122,-0.527001343,-0.884433914,-0.731149523,0.010794066,0.087802287,-0.555876966,-0.85744517,-0.815505473,-0.156849801,0.266628189,0.213263922,0.248168023,0.195586538,0.185158789,0.215667502,0.185564447,0.149169438,0.146651333,0.149235153,0.177498916,0.152785769,0.139668375,-7.291018477,-6.754237708,-6.885843648,-6.481984201,-6.07811423,-6.507517788,-6.533523083,-6.854319592,-7.064558926,-7.009053753,-7.204658285,-7.150914549,-7.091921222,-7.517941158,-7.611163195,-7.436143486,-7.271008738,-7.467024934,-7.838309484,-7.552978063,-7.494742152,-8.019217044,-8.022188154,-8.3459908,-8.266726744,-8.28843356,-8.342913545,-8.281095231,-8.420178297,-8.482584688,-8.279712196,-7.855936925,-8.381345078,-8.435344748,-8.513313341,-8.621060656,-8.628681875,-8.683301198,-8.676100954,-8.699765774,-8.873685758,-8.838194978,-8.892023117,-9.066170873,-9.074194961,-9.138429782,-9.121571816,-9.162835391,-9.220909163,-9.249265072,-9.252747416,-9.139612572,-9.245656197,-9.413778031,-9.487157055,-9.477232141,-9.56345886,-9.548026791,-9.517372502,-9.428408902,-9.709028382,-9.726996957,-9.570677586,-9.645529588,0.378527369,0.398641885,0.324213033,0.311949538,0.361536521,0.473124481,0.227775785,0.203549133,0.325652034,0.332143569,0.305019532,0.276182495,0.426885639,0.295417303,0.25288167,0.295290942,0.26921489,0.285091847,0.261566029,0.243175769,0.297895461,0.235658581,0.268129854,0.24273939,0.230069732,0.253682135,0.233054897,0.200658946,0.201028411,0.196674213,0.201261217,0.251920948,0.181249516,0.207476046,0.21079241,0.190150227,0.193526028,0.184436502,0.18086701,0.169058505,0.159262333,0.173261681,0.184535839,0.160758773,0.141007113,0.151211603,0.150724225,0.150691544,0.147934196,0.144507217,0.135877739,0.15742112,0.136806718,0.133671538,0.136119848,0.138739803,0.128712093,0.131996967,0.135541953,0.143544369,0.117325452,0.118125366,0.122948917,0.126219321,1
00000002.wav,10,0.010397458,0.000858403,0.044360039,0.005890947,1401.532416,66.77052384,1633.449098,36.93325957,2989.801045,144.8527108,-15.04279933,-1.442029084,-2.742385471,0.158593076,-1.134449388,-0.412676398,-0.858999898,0.024616319,-0.368102222,-0.027841154,-0.46194342,-0.118540457,-0.045867071,0.214475973,0.193078679,0.147675521,0.188149185,0.200606125,0.155597374,0.166504056,0.120082029,0.119046017,0.127846945,0.12970053,0.120677029,0.114396297,-6.677020217,-6.267770228,-6.318316584,-6.706612939,-6.602628065,-6.684777159,-6.78032762,-6.739791808,-6.631201141,-6.777962963,-6.982070839,-7.010349648,-7.150612054,-7.261279395,-7.300681203,-7.316963726,-7.261999406,-7.521885292,-7.530830599,-7.409149973,-7.683252685,-7.857218592,-7.804763733,-7.935316371,-7.967221163,-7.906757625,-8.079134949,-8.038723748,-8.089154263,-8.151297787,-8.06440494,-8.141622495,-8.217196387,-8.191693755,-8.265694479,-8.397772225,-8.437440975,-8.506679072,-8.538046707,-8.589654036,-8.65340728,-8.642382527,-8.700088739,-8.87243693,-8.927153351,-9.033747483,-9.042217414,-9.086782215,-9.159391169,-9.239967489,-9.325601454,-9.390356429,-9.419715382,-9.451315686,-9.594909761,-9.628353232,-9.713967472,-9.775471058,-9.921997137,-10.05512784,-10.19615492,-10.32017739,-10.32400507,-10.43520796,0.376463437,0.310213996,0.285897225,0.295447296,0.360509298,0.309793443,0.31386908,0.310009484,0.302838581,0.301726528,0.269396403,0.329117061,0.287453733,0.270045842,0.292397332,0.2981109,0.299680592,0.254982942,0.269129446,0.264714289,0.258207754,0.253513266,0.241910682,0.232968287,0.23775616,0.232073947,0.202853498,0.212719927,0.210074869,0.202025761,0.212488103,0.195534811,0.212478213,0.178737406,0.203432255,0.198078316,0.184522385,0.184318702,0.183273009,0.174701057,0.167334794,0.163699914,0.180545407,0.145123559,0.159441515,0.163957735,0.149662675,0.151049571,0.139902432,0.140496027,0.141315983,0.136061822,0.137536712,0.13248372,0.118553819,0.130748468,0.130577142,0.128745181,0.128669835,0.127759786,0.125227251,0.111972702,0.11020201,0.117270462,1
00000003.wav,10,0.009822869,0.001298574,0.054369804,0.006845851,1723.668778,92.21545943,1851.755905,44.49367224,3714.630225,229.8939566,-14.56789755,-3.218267283,-2.292940263,-1.118948881,-1.971673226,-1.453095662,-0.689860011,0.195955428,-0.592099406,-0.210530672,-1.231126971,-1.102069581,-0.07324337,0.309321882,0.326302708,0.182262979,0.184017505,0.183605202,0.149262834,0.186715034,0.249311463,0.170269602,0.133108174,0.168308457,0.186731558,0.126855605,-7.554050867,-7.143017008,-7.231827617,-6.853508694,-6.408474041,-6.803347404,-7.270093144,-7.429797185,-6.75546754,-6.258927089,-6.955683118,-7.216246667,-7.417407486,-7.614385643,-7.504377051,-7.328628544,-7.247453143,-7.028458017,-6.503805038,-7.405754577,-7.746054192,-7.794864821,-7.896051741,-8.20389426,-8.080030968,-8.110430542,-8.247382438,-8.167242802,-8.17366388,-8.142320023,-8.21502449,-8.200643786,-8.352305208,-8.331568006,-8.41661797,-8.53728434,-8.521016168,-8.517916058,-8.468983857,-8.417932198,-8.482186415,-8.48484628,-8.554546162,-8.745036316,-8.854296836,-8.984064309,-9.017648612,-9.077043891,-9.166166674,-9.212924334,-9.243867078,-9.160948073,-9.202834573,-9.229930561,-9.228367811,-9.272648582,-9.363870259,-9.455377739,-9.587954556,-9.599571991,-9.808297621,-9.862962347,-9.758389138,-9.975819782,0.395789886,0.347879195,0.300451224,0.290386655,0.285823816,0.230482263,0.309600899,0.288420356,0.279460091,0.352909063,0.246523886,0.29963489,0.260750503,0.255873946,0.285262233,0.285535924,0.300978955,0.336080295,0.405779826,0.247055773,0.247447107,0.261283647,0.265366612,0.225795774,0.208108069,0.232249784,0.227318294,0.225236605,0.21032735,0.241938083,0.212103603,0.22415248,0.198168366,0.183000075,0.20600161,0.195878016,0.193184026,0.182145517,0.183551165,0.174697507,0.180857177,0.171384438,0.183045111,0.176926208,0.184036587,0.167820452,0.167353859,0.171303147,0.148279633,0.144873382,0.147006443,0.163040433,0.140333387,0.136198613,0.146387817,0.13443268,0.137996535,0.14195932,0.127463083,0.125475872,0.114023813,0.117704455,0.125718923,0.120518396,1
00000004.wav,10,0.009953574,0.000738893,0.050322704,0.006459641,1444.196214,74.04606953,1641.979645,39.58647552,3015.625,167.7191859,-15.07643617,-1.486640105,-3.266314972,-0.974444646,-0.94029676,0.553045244,-0.206759153,-0.561525209,-1.114674675,-0.171779257,0.144477838,0.230726837,-0.729941458,0.257124055,0.274147162,0.26464609,0.24441606,0.186282761,0.221605159,0.151214924,0.155415521,0.174089595,0.129005966,0.155272581,0.162749714,0.151892142,-6.76073416,-6.605966631,-6.712752468,-6.556966274,-6.537677535,-6.562068052,-6.519314367,-7.070858515,-7.024725426,-7.001386771,-7.217848033,-7.02498662,-7.097259751,-7.504927321,-7.520776271,-7.408426029,-7.237580166,-7.484909808,-7.661259495,-7.592115255,-7.592162613,-7.819788623,-7.818264779,-7.888693772,-7.056435443,-6.893213166,-7.833707764,-7.910968149,-8.195746563,-8.212632069,-8.18414726,-8.278986607,-8.344591273,-8.314096743,-8.361602185,-8.520060984,-8.515493533,-8.549882361,-8.597784323,-8.667526452,-8.791407548,-8.764164022,-8.836453952,-9.005459066,-9.006425414,-9.03668977,-9.00048048,-9.067290674,-9.215622033,-9.31611602,-9.398884338,-9.438881766,-9.473280834,-9.487347594,-9.587507598,-9.658523618,-9.726506155,-9.768915885,-9.878338164,-10.03045469,-10.16101109,-10.21283923,-10.24801498,-10.38661597,0.384332115,0.316057618,0.33171108,0.340999855,0.333735314,0.312534463,0.327657882,0.286004358,0.316298433,0.325546296,0.267947088,0.305486934,0.276469608,0.267391171,0.27145252,0.297825321,0.310474248,0.249177484,0.240197034,0.252528304,0.243162375,0.253073867,0.245690522,0.225077593,0.249016539,0.268121562,0.244378689,0.232144598,0.199268166,0.223328491,0.217409204,0.1822756,0.191964847,0.185889356,0.202902778,0.185301796,0.185330728,0.177557878,0.186073972,0.170406105,0.164700716,0.183135648,0.18747675,0.158034085,0.162622488,0.153176047,0.151624082,0.153978145,0.155474406,0.141330699,0.139008952,0.141704183,0.130386069,0.129355871,0.130459255,0.123695441,0.132510419,0.200880824,0.283715102,0.121451924,0.1175021,0.114230166,0.1144191,0.111624429,1
00000005.wav,10,0.009967316,0.0009778,0.057876978,0.008836545,1787.510007,119.560833,1930.492002,66.40136263,3960.560691,275.4034584,-13.47813125,-4.040251392,-2.113074269,-0.229869832,-0.541954739,-0.555451029,-0.653310021,-0.007405822,-0.04571115,0.038609727,-0.380343203,-0.254138572,-0.311831488,0.543978426,0.415649416,0.297040693,0.215993083,0.204645302,0.155589479,0.171954702,0.17049404,0.135583315,0.143640613,0.141008966,0.121934545,0.112040667,-6.348974285,-6.408678127,-6.762017864,-6.477958722,-6.530185017,-6.841699636,-6.804088929,-7.045580169,-6.852580817,-6.93414931,-7.224995592,-7.131596453,-7.303398111,-7.396569056,-7.410209553,-7.323459143,-7.236098904,-7.597009036,-7.678307779,-7.606627447,-7.639143042,-7.780422213,-7.855774259,-8.174075243,-8.079164693,-7.98084272,-7.966344088,-7.885217201,-7.938728389,-7.998729541,-7.996010659,-8.086781226,-8.098121288,-8.076855731,-8.156849808,-8.299500438,-8.265490414,-8.277642786,-8.335419907,-8.383781854,-8.508524169,-8.529818059,-8.575922254,-8.658571361,-8.677270749,-8.793678358,-8.81250258,-8.809289134,-8.861113597,-8.942999323,-8.949848355,-9.055326166,-9.119474609,-9.140445778,-9.198162109,-9.224559611,-9.253339541,-9.259630471,-9.293109359,-9.414604083,-9.502750317,-9.593452787,-9.642310765,-9.784731546,0.393002963,0.36895716,0.313086644,0.434011191,0.36432778,0.293558731,0.28535819,0.286772345,0.32351139,0.307489456,0.275877439,0.286022016,0.247920005,0.275136364,0.270538356,0.269825831,0.290420205,0.243723285,0.288409603,0.250548841,0.264087114,0.246841704,0.256722304,0.245221649,0.244697571,0.229527714,0.2232018,0.229852512,0.230691947,0.212868852,0.236140465,0.201005274,0.21668633,0.214910666,0.192227501,0.189448814,0.187677878,0.198445442,0.18624478,0.1841082,0.183178881,0.176037802,0.180147234,0.174687141,0.178567958,0.166677503,0.173205792,0.178857587,0.164372581,0.162835284,0.189729973,0.168406736,0.17606068,0.173590243,0.169656628,0.170986145,0.154710552,0.192026463,0.24191665,0.175949991,0.176621542,0.176911507,0.189832868,0.179049206,1
00000006.wav,10,0.010311356,0.001059373,0.046130058,0.007106451,1589.802975,105.8404512,1853.339741,63.38264063,3565.313505,257.0544458,-14.71865351,-2.960001173,-1.698384497,-0.031722482,-0.558910553,-0.565077205,-0.498059426,0.204935228,0.00675154,-0.030571288,-0.50832899,-0.170505765,-0.213350871,0.353895907,0.350268042,0.265411724,0.186641983,0.19521532,0.168595092,0.127773056,0.121479188,0.144718125,0.151265704,0.148203064,0.14695978,0.135512633,-6.430178591,-6.222718382,-6.518979589,-6.439672305,-6.418847933,-6.635002169,-6.752499715,-7.066355128,-6.931095877,-6.90580702,-7.094373247,-7.125787463,-7.285506149,-7.46680497,-7.518377176,-7.372760875,-7.253206362,-7.57886986,-7.730500799,-7.598943269,-7.604986543,-7.861795103,-7.866568285,-8.178285855,-8.269831622,-8.210642825,-8.205472666,-8.047762983,-8.092617404,-8.213255852,-8.166475338,-8.236720976,-8.244073425,-8.223428798,-8.278559807,-8.394670296,-8.423809616,-8.468314557,-8.507095051,-8.545003561,-8.682347839,-8.706170038,-8.704018812,-8.830095442,-8.85532683,-8.977752166,-9.000001919,-8.98856712,-9.03813437,-9.11290919,-9.180597458,-9.270962935,-9.307445308,-9.345175845,-9.401955672,-9.420776927,-9.446950614,-9.431869189,-9.489049812,-9.609757041,-9.712128429,-9.827503902,-9.860381857,-9.996608425,0.400965337,0.372082313,0.312332254,0.338937511,0.352452577,0.303509117,0.321590376,0.276257532,0.287769517,0.296605507,0.27671979,0.318257981,0.273431399,0.271225029,0.283865233,0.304596434,0.296422274,0.242035328,0.26348394,0.232488572,0.230359945,0.237751325,0.239254896,0.228901749,0.24517847,0.241043737,0.221325994,0.224392959,0.214657655,0.220848894,0.231025277,0.199078657,0.201667251,0.209681712,0.210158892,0.198336001,0.194469116,0.181014131,0.198766918,0.173067215,0.175937198,0.179204095,0.17921321,0.166212268,0.172442714,0.162267072,0.173287668,0.17540808,0.163438001,0.171017039,0.163202521,0.156323745,0.153868315,0.15758807,0.160368885,0.155834449,0.156318111,0.214877794,0.234663934,0.152187311,0.161336306,0.166537179,0.163391437,0.160970377,1
00000007.wav,10,0.009707756,0.000939777,0.055017716,0.004857809,1594.226345,68.93174085,1763.36763,42.9992491,3293.709807,194.8173925,-14.79810429,-2.135179178,-3.136231736,-2.45662037,-1.6936526,-0.814939776,-0.065093466,0.337167647,-0.277608215,-0.55944808,-0.191912736,0.31345975,-0.008942985,0.270151413,0.251346731,0.221541568,0.327813355,0.205526856,0.23287763,0.270973994,0.160045419,0.201215307,0.193738335,0.116012117,0.156683031,0.179177431,-7.41580877,-6.987691246,-7.068213015,-6.797668712,-6.59274568,-6.867603558,-7.087547141,-7.296117861,-7.084942633,-7.0810348,-7.311685747,-7.200263019,-7.286787,-6.896717001,-7.262832963,-6.677520719,-6.652391859,-7.588750182,-7.537260407,-7.65911898,-7.875943456,-7.54164796,-6.592812244,-7.220801596,-8.109257154,-7.946704892,-8.068850869,-8.151384629,-8.232612306,-8.143841546,-8.177689688,-8.297852341,-8.278593786,-8.189278587,-8.122110409,-8.45292758,-8.573235762,-8.603908872,-8.643092167,-8.712595563,-8.790189781,-8.825847998,-8.849605126,-9.033724465,-9.067101496,-9.14839731,-9.137703167,-9.177959945,-9.237930237,-9.342456624,-9.404599201,-9.324444332,-9.380694036,-9.472281703,-9.562254647,-9.56803039,-9.634339877,-9.660940659,-9.675224955,-9.645618751,-9.843541314,-9.840648699,-9.800522266,-10.0189192,0.355076016,0.37459449,0.315347111,0.30927385,0.297151362,0.312520831,0.341726811,0.305101732,0.32387252,0.319108383,0.293440928,0.328032421,0.251608475,0.371128901,0.248373705,0.286411569,0.288290693,0.24254097,0.313858749,0.259599011,0.248650653,0.284205884,0.370479128,0.320217791,0.23690442,0.220421228,0.207373819,0.209839983,0.206653481,0.256084402,0.227556972,0.1832204,0.173371244,0.198174475,0.227890082,0.191414749,0.193245978,0.175622952,0.1832954,0.16692685,0.18340255,0.187106483,0.187438381,0.15447653,0.155785174,0.143621769,0.157801218,0.159860847,0.159408329,0.154561145,0.145751,0.144295864,0.13793249,0.129512531,0.131136402,0.129164475,0.123360757,0.140039198,0.14763557,0.132730906,0.11589483,0.127404354,0.123750678,0.113778098,1
00000008.wav,10,0.0092142,0.000736847,0.055030236,0.005290871,1561.00615,66.22261681,1730.237013,37.82359596,3166.298232,172.6142976,-15.12561894,-1.87107125,-3.310739174,-2.382730401,-1.62262702,-0.909073992,-0.437250908,-0.163389858,-0.545007964,-0.184621967,0.340262104,0.232892803,-0.498816431,0.360045475,0.240532406,0.275083995,0.279379544,0.18282998,0.227431636,0.166019559,0.208203699,0.257113913,0.155431872,0.197045137,0.210123476,0.135398003,-7.397468974,-7.012753065,-7.139214187,-7.024426523,-6.770217506,-6.650360131,-7.127710398,-7.305898005,-7.080513269,-7.147594273,-7.361045332,-7.152339144,-6.677951528,-7.123110447,-6.824027902,-7.120786357,-7.053072682,-6.946151044,-7.685139462,-7.559535507,-7.668653609,-7.645318237,-7.944744264,-7.111118368,-6.903259306,-8.038089171,-8.399130353,-7.945703714,-8.178046824,-8.453705955,-8.166686131,-8.203399953,-8.3762448,-8.323048982,-8.333715926,-8.424888762,-8.307948381,-8.59535254,-8.705500048,-8.748535039,-8.802504984,-8.843696439,-8.885950422,-9.071285089,-9.10863996,-9.178583378,-9.211036519,-9.264659647,-9.299696424,-9.363847506,-9.463324828,-9.419064699,-9.432361304,-9.531693523,-9.595358209,-9.629621874,-9.707446027,-9.739041066,-9.802178076,-9.737258229,-9.873598539,-9.952061656,-9.897404918,-10.03103229,0.401462746,0.358614179,0.34443574,0.312783549,0.289038569,0.386097597,0.302803415,0.279543333,0.30580699,0.313623983,0.264718315,0.240898509,0.201852914,0.177184201,0.350007201,0.233522757,0.285143408,0.444358087,0.249505081,0.274814545,0.230732094,0.210497645,0.251878224,0.335711109,0.345707341,0.25076426,0.227486469,0.246191743,0.223048326,0.204996148,0.22732789,0.201582474,0.200580286,0.183974662,0.200413874,0.196729569,0.223365622,0.17924304,0.181617976,0.173461874,0.16852075,0.177935622,0.174716294,0.15212976,0.164204725,0.168397,0.16382758,0.158598011,0.160771031,0.148540619,0.141138545,0.138130945,0.129684676,0.133737586,0.136006459,0.135244327,0.128113483,0.133187571,0.123214685,0.125502491,0.110659931,0.112413144,0.121989342,0.116494473,1
00000009.wav,10,0.009150909,0.000843215,0.085633889,0.010709072,2057.024021,169.9484605,1894.905937,104.0908976,4235.982717,357.851684,-11.86725777,-5.409423277,-3.297118225,-0.764170506,-2.455204727,-0.969476906,-1.451588075,-0.363967018,-0.508724571,-0.174183452,-0.210510953,-0.061890144,-0.334898968,0.905910181,0.964636708,0.558918269,0.281110003,0.208846575,0.262407339,0.184978587,0.149996008,0.163030042,0.173704198,0.158963762,0.153082895,0.157263401,-7.30797238,-6.881032265,-7.222903872,-7.414439327,-7.302781749,-7.071852931,-6.973821147,-6.874216525,-6.896603247,-6.95771643,-6.996148382,-6.864131548,-6.90161504,-7.089349489,-7.071035751,-7.035167214,-7.124191328,-7.435837041,-7.504233742,-7.442730763,-7.567497216,-7.502549651,-7.54029802,-7.776528977,-7.858742656,-7.889213372,-7.825860756,-7.79739375,-7.86977458,-7.874378622,-7.928027807,-7.992809008,-7.983378789,-7.923695804,-8.057866211,-8.149961602,-8.142698199,-8.129162017,-8.103196143,-8.087730229,-8.141075826,-8.219552079,-8.319403878,-8.346103046,-8.451132386,-8.538209251,-8.445643847,-8.430433984,-8.429331168,-8.420207196,-8.465058552,-8.579917931,-8.640080518,-8.948869051,-9.15214108,-9.125534015,-9.10113633,-9.187246745,-8.91005188,-9.140264758,-9.555049023,-9.799748263,-9.883027754,-9.790839841,0.329380269,0.384282084,0.325401422,0.369614458,0.316584397,0.319649223,0.285313153,0.351151364,0.320139944,0.316360474,0.275467989,0.297867248,0.285072981,0.253233959,0.286658225,0.28089978,0.264514254,0.268961179,0.280924055,0.276745714,0.283793635,0.283743031,0.298754359,0.270562519,0.261774385,0.248002833,0.275686261,0.250455605,0.258938686,0.249625966,0.220020015,0.207733622,0.220737759,0.238357784,0.202096396,0.202825515,0.179124664,0.185405884,0.195186636,0.229449052,0.225572617,0.203652065,0.16921572,0.194492841,0.198146949,0.18477288,0.189756136,0.214229728,0.250173326,0.275182487,0.277672509,0.296506318,0.286888062,0.205336576,0.1687469,0.222991694,0.238346111,0.238676446,0.382392632,0.326093081,0.228390984,0.166414632,0.155528072,0.248944161,1
