filename,duration,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,mfcc_mu_1,mfcc_mu_2,mfcc_mu_3,mfcc_mu_4,mfcc_mu_5,mfcc_mu_6,mfcc_mu_7,mfcc_mu_8,mfcc_mu_9,mfcc_mu_10,mfcc_mu_11,mfcc_mu_12,mfcc_mu_13,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,logmel_mu_band_1,logmel_mu_band_2,logmel_mu_band_3,logmel_mu_band_4,logmel_mu_band_5,logmel_mu_band_6,logmel_mu_band_7,logmel_mu_band_8,logmel_mu_band_9,logmel_mu_band_10,logmel_mu_band_11,logmel_mu_band_12,logmel_mu_band_13,logmel_mu_band_14,logmel_mu_band_15,logmel_mu_band_16,logmel_mu_band_17,logmel_mu_band_18,logmel_mu_band_19,logmel_mu_band_20,logmel_mu_band_21,logmel_mu_band_22,logmel_mu_band_23,logmel_mu_band_24,logmel_mu_band_25,logmel_mu_band_26,logmel_mu_band_27,logmel_mu_band_28,logmel_mu_band_29,logmel_mu_band_30,logmel_mu_band_31,logmel_mu_band_32,logmel_mu_band_33,logmel_mu_band_34,logmel_mu_band_35,logmel_mu_band_36,logmel_mu_band_37,logmel_mu_band_38,logmel_mu_band_39,logmel_mu_band_40,logmel_mu_band_41,logmel_mu_band_42,logmel_mu_band_43,logmel_mu_band_44,logmel_mu_band_45,logmel_mu_band_46,logmel_mu_band_47,logmel_mu_band_48,logmel_mu_band_49,logmel_mu_band_50,logmel_mu_band_51,logmel_mu_band_52,logmel_mu_band_53,logmel_mu_band_54,logmel_mu_band_55,logmel_mu_band_56,logmel_mu_band_57,logmel_mu_band_58,logmel_mu_band_59,logmel_mu_band_60,logmel_mu_band_61,logmel_mu_band_62,logmel_mu_band_63,logmel_mu_band_64,logmel_std_band_1,logmel_std_band_2,logmel_std_band_3,logmel_std_band_4,logmel_std_band_5,logmel_std_band_6,logmel_std_band_7,logmel_std_band_8,logmel_std_band_9,logmel_std_band_10,logmel_std_band_11,logmel_std_band_12,logmel_std_band_13,logmel_std_band_14,logmel_std_band_15,logmel_std_band_16,logmel_std_band_17,logmel_std_band_18,logmel_std_band_19,logmel_std_band_20,logmel_std_band_21,logmel_std_band_22,logmel_std_band_23,logmel_std_band_24,logmel_std_band_25,logmel_std_band_26,logmel_std_band_27,logmel_std_band_28,logmel_std_band_29,logmel_std_band_30,logmel_std_band_31,logmel_std_band_32,logmel_std_band_33,logmel_std_band_34,logmel_std_band_35,logmel_std_band_36,logmel_std_band_37,logmel_std_band_38,logmel_std_band_39,logmel_std_band_40,logmel_std_band_41,logmel_std_band_42,logmel_std_band_43,logmel_std_band_44,logmel_std_band_45,logmel_std_band_46,logmel_std_band_47,logmel_std_band_48,logmel_std_band_49,logmel_std_band_50,logmel_std_band_51,logmel_std_band_52,logmel_std_band_53,logmel_std_band_54,logmel_std_band_55,logmel_std_band_56,logmel_std_band_57,logmel_std_band_58,logmel_std_band_59,logmel_std_band_60,logmel_std_band_61,logmel_std_band_62,logmel_std_band_63,logmel_std_band_64,label
00000000.wav,10,0.005009269,0.000419941,0.066044734,0.006889889,1785.835462,71.9189857,1797.202302,37.64939922,3698.603296,155.8815085,-19.44594359,-3.809298405,-3.52058134,-0.879924071,-1.943981377,-1.685735939,-1.429871698,-0.152886737,-0.321576121,-0.127667125,-0.73388898,-0.3063461,-0.20081684,0.356084515,0.203920404,0.209250027,0.188465881,0.195105927,0.203733207,0.182139778,0.140665909,0.155553227,0.154257743,0.12643318,0.146373119,0.144720721,-7.673666923,-7.592433785,-7.81353252,-7.654673156,-7.560193691,-7.579372153,-7.422267948,-7.659255092,-7.323406076,-7.189689073,-7.441842289,-7.375672977,-7.664198666,-7.725088326,-7.645565753,-7.478534858,-7.40906538,-7.873389311,-7.922264801,-7.840849171,-8.148982,-8.152041686,-8.106820329,-8.546063027,-8.697677978,-8.656816659,-8.499637321,-8.357961457,-8.492322182,-8.551621228,-8.375482053,-8.454395805,-8.50706237,-8.465707475,-8.551482265,-8.653012441,-8.659745795,-8.716441165,-8.743288962,-8.833086163,-8.948590808,-8.901446125,-8.944233662,-9.135463068,-9.160199995,-9.262745467,-9.266615155,-9.347749228,-9.404890845,-9.479013283,-9.578230648,-9.625712076,-9.671852677,-9.681375678,-9.753313821,-9.796453937,-9.837798386,-9.873989535,-10.00662211,-10.13501562,-10.28788995,-10.36865542,-10.37149191,-10.47206331,0.339509781,0.327165244,0.290560439,0.325152574,0.321500827,0.309131935,0.358571133,0.29064265,0.298564455,0.38103428,0.284083067,0.320694485,0.28037532,0.309988865,0.275499108,0.280949253,0.309518743,0.266692777,0.267449039,0.28542855,0.24613042,0.246939417,0.262939157,0.248597076,0.239302355,0.261730468,0.246842657,0.213452096,0.199464739,0.204836344,0.224253488,0.203775393,0.21089394,0.202397079,0.220436047,0.184400688,0.198076768,0.18685998,0.183635827,0.169775174,0.154919073,0.187456157,0.193111781,0.161908671,0.139218286,0.149278005,0.163478917,0.147870981,0.144473799,0.143139093,0.14216469,0.139484656,0.141872358,0.13114345,0.127519586,0.140561322,0.127311964,0.146775848,0.144734865,0.131309796,0.122726633,0.121159853,0.11933992,0.123957036,1
00000001.wav,10,0.005054215,0.000440211,0.068587866,0.006086279,1833.139261,78.0755894,1768.620296,37.50853883,3704.230305,166.2345271,-19.66427081,-4.245047808,-4.449378818,-1.886585682,-2.825941074,-2.184518481,-1.706684636,-0.254343048,-0.444427392,-0.209162384,-0.796212299,-0.393082406,-0.313043218,0.28786932,0.269519776,0.219318095,0.228156865,0.189449097,0.169173319,0.175575392,0.176184489,0.185988013,0.171597223,0.14331081,0.140310432,0.129725957,-8.51202265,-8.156482604,-8.185818757,-8.195148026,-8.1251241,-7.974992552,-7.719457365,-7.642520061,-7.363491985,-7.286480142,-7.426265856,-7.315944686,-7.671258952,-7.771538898,-7.570400733,-7.466296474,-7.001028958,-7.391333416,-7.991021603,-7.849433822,-8.155850928,-8.164224463,-8.089210774,-8.081858234,-8.533624007,-8.652612464,-8.477698166,-8.329031066,-8.492399579,-8.558485162,-8.332652034,-8.445443313,-8.49651617,-8.440587319,-8.515438252,-8.660676406,-8.672430599,-8.717118782,-8.734242805,-8.81086961,-8.946433565,-8.895711273,-8.953068157,-9.142426376,-9.157221312,-9.284848547,-9.259775471,-9.33723771,-9.415481694,-9.499412174,-9.600007767,-9.623140525,-9.644055778,-9.66954892,-9.770600547,-9.797393757,-9.836334656,-9.889495364,-10.03259658,-10.16508922,-10.3321808,-10.39188444,-10.39322793,-10.50213747,0.374436839,0.370321732,0.329846025,0.326644939,0.305473481,0.302198423,0.344102287,0.319396544,0.32369095,0.357958054,0.278151896,0.308399575,0.261518969,0.289344236,0.279364081,0.296818194,0.267882027,0.241455187,0.265751276,0.275144384,0.263214008,0.264689354,0.280191213,0.318784535,0.223080152,0.247512088,0.253815322,0.224799011,0.223805154,0.218367625,0.229586083,0.202425584,0.196519945,0.183507327,0.210149363,0.187519668,0.189963267,0.183362769,0.187561409,0.171848721,0.148569334,0.18791311,0.189797954,0.17418043,0.16003792,0.160327657,0.158350395,0.156976497,0.161926768,0.137878378,0.145409337,0.147852858,0.135500269,0.137232727,0.138089556,0.140494896,0.132066807,0.132043405,0.125279122,0.119634727,0.119589094,0.111225494,0.12893574,0.124802131,1
00000002.wav,10,0.005043898,0.000407331,0.069913424,0.006280611,1828.509744,79.78197624,1780.370462,36.29530032,3710.912379,159.1706598,-19.19683631,-4.043864047,-4.228366957,-1.641515049,-2.293661981,-1.769061081,-1.491490185,-0.346473736,-0.657462192,-0.43085524,-0.782354295,-0.085459111,-0.0447116,0.308677695,0.288875998,0.229095993,0.204091257,0.195277576,0.210036012,0.235628057,0.163443974,0.182442835,0.149687606,0.12104153,0.141600348,0.136934313,-8.328628634,-7.975616371,-7.985379289,-7.996869928,-7.787339566,-7.770366672,-7.625478101,-7.598919359,-7.282375326,-7.180783869,-7.481853059,-7.314577923,-7.622215267,-7.638598645,-7.640851888,-7.430136133,-7.35570033,-7.817591316,-7.942480925,-7.844056419,-8.137619957,-8.063144263,-7.62175643,-8.191371376,-8.666162734,-8.538768447,-8.423385804,-8.310305406,-8.474881449,-8.501209312,-8.29422296,-8.394360438,-8.444341828,-8.367764086,-8.429503967,-8.664759603,-8.679506916,-8.692943632,-8.717779923,-8.802834742,-8.939270105,-8.897347523,-8.925697497,-9.139179377,-9.153152945,-9.258862197,-9.262632424,-9.304635514,-9.382934919,-9.47784979,-9.596284706,-9.614125303,-9.648431085,-9.661100864,-9.733859532,-9.767481197,-9.809473188,-9.847185433,-9.995546996,-10.11327892,-10.26485638,-10.3610346,-10.33400943,-10.44421503,0.377172126,0.334672577,0.315004834,0.322998228,0.33334674,0.313550395,0.343654847,0.338193334,0.313638443,0.347135573,0.263263006,0.319176027,0.249550045,0.316160377,0.265953176,0.285783876,0.325808003,0.26970559,0.258423042,0.27351327,0.263145384,0.245640688,0.317753428,0.279367161,0.207416012,0.260269577,0.250703126,0.224033236,0.205733397,0.211523902,0.240407843,0.210873024,0.207076107,0.217768558,0.22337313,0.182588991,0.176603683,0.178838498,0.179042912,0.174116529,0.161257767,0.179858568,0.185881718,0.171603778,0.169080803,0.181956857,0.175514492,0.153550503,0.150261021,0.143453621,0.140109319,0.134084783,0.143825235,0.144373982,0.130120251,0.139028082,0.125690677,0.122067125,0.123676461,0.122865532,0.120771276,0.113440211,0.113484973,0.120652473,1
00000003.wav,10,0.005110174,0.000395636,0.07040327,0.007258834,1852.609295,83.99068975,1814.953207,37.67008687,3801.949357,166.4659289,-18.90245471,-4.219209309,-3.792908082,-1.208236805,-2.071152904,-1.846744884,-1.56343775,-0.162846829,-0.20759544,-0.063589194,-0.632960213,-0.214476019,-0.038352007,0.231985751,0.272682734,0.19629839,0.200409501,0.177960675,0.16378206,0.180328892,0.147403883,0.149657035,0.136367703,0.12729917,0.121423318,0.113874731,-8.011307541,-7.562052622,-7.618774208,-7.94690353,-7.90490028,-7.816703561,-7.65023707,-7.514621537,-7.248497422,-7.259677028,-7.436037862,-7.295452466,-7.561136749,-7.701559099,-7.622007686,-7.404969581,-7.280967405,-7.762055062,-7.905606512,-7.824340428,-8.131402652,-8.096165083,-8.049234564,-8.454596228,-8.619611543,-8.585838053,-8.461091678,-8.298192311,-8.43111182,-8.488904571,-8.253512996,-8.361219807,-8.438909819,-8.361619665,-8.417362742,-8.616973218,-8.614827098,-8.64696932,-8.695922186,-8.77244857,-8.902192903,-8.872882912,-8.892839547,-9.086795679,-9.104870034,-9.189632083,-9.211795988,-9.284580558,-9.354356246,-9.430223746,-9.519867865,-9.548128646,-9.568813788,-9.582888175,-9.673323276,-9.72838964,-9.77473852,-9.799569542,-9.923115659,-10.04837961,-10.20751945,-10.2458531,-10.25498617,-10.37297804,0.380669592,0.339640149,0.303341316,0.303687377,0.354190801,0.316410718,0.334584864,0.310112773,0.303572652,0.366187867,0.297124997,0.326017481,0.272677819,0.293988082,0.277079825,0.24996724,0.318570323,0.268560407,0.254767569,0.280338301,0.270099967,0.243943585,0.253555236,0.235262852,0.218169224,0.245955263,0.231767442,0.217211628,0.21010268,0.215262452,0.215825612,0.175132491,0.18733815,0.183744869,0.213594042,0.185886299,0.185532006,0.165916481,0.192478407,0.173231808,0.167582971,0.191050778,0.206021113,0.164250896,0.162454536,0.150692675,0.161989813,0.167233812,0.147774039,0.141112722,0.142311984,0.140636947,0.146711514,0.142616155,0.13971046,0.135627236,0.124669291,0.12784596,0.120292278,0.119320125,0.12101499,0.113643629,0.123145451,0.116700697,1
00000004.wav,10,0.00500531,0.000400326,0.069151267,0.006683708,1819.456778,76.22914149,1767.610353,35.84515928,3673.432476,157.2245565,-19.53596917,-4.089314397,-4.362429142,-1.78613644,-2.575881559,-2.114346133,-1.627715106,-0.295004606,-0.59850224,-0.435318663,-0.773059665,-0.184038209,-0.114168266,0.238546423,0.246018702,0.18996452,0.209941429,0.186459154,0.172023472,0.206357792,0.147681685,0.147593168,0.168149474,0.126911469,0.140925889,0.134291659,-8.507428479,-8.099815577,-8.116270239,-8.094124348,-7.97777407,-7.963436643,-7.637724526,-7.5616269,-7.31263795,-7.269069852,-7.445545224,-7.306491557,-7.616478001,-7.674365533,-7.600715955,-7.292927582,-7.237341897,-7.810689771,-7.91660893,-7.817336669,-8.136309588,-8.08757616,-7.703169075,-8.207465029,-8.69088267,-8.589674849,-8.536550258,-8.351304328,-8.499498904,-8.557789815,-8.35390037,-8.398930063,-8.46042976,-8.415215592,-8.46320812,-8.642418473,-8.657527374,-8.68606958,-8.713486859,-8.795814007,-8.951446009,-8.928765424,-8.962221099,-9.134966888,-9.183827252,-9.288923129,-9.276567553,-9.351680443,-9.426141047,-9.512271194,-9.617329159,-9.633290909,-9.655400042,-9.694165088,-9.78167037,-9.808730604,-9.845213067,-9.90054364,-10.04329323,-10.13525334,-10.30009663,-10.37937797,-10.34878538,-10.49495115,0.398602591,0.338513657,0.305699897,0.312873396,0.358532828,0.28207712,0.315584893,0.332955402,0.299454934,0.352610055,0.286585028,0.340235982,0.281575016,0.306350025,0.268693437,0.273482514,0.287869361,0.267561641,0.275941911,0.261097878,0.2617018,0.246154733,0.266783007,0.245336671,0.226285786,0.240680241,0.241679701,0.218726085,0.212578215,0.220707088,0.228398776,0.189750427,0.1887906,0.190407855,0.234701477,0.199589094,0.183607049,0.192861863,0.175146335,0.167414847,0.167748755,0.181692965,0.190551865,0.155219596,0.147990899,0.153854784,0.167849263,0.15474256,0.144744651,0.158450067,0.139721304,0.142208565,0.152846811,0.147127341,0.133144785,0.134451829,0.120656433,0.143595442,0.130081053,0.127227998,0.121055624,0.113722395,0.117292637,0.122173986,1
00000005.wav,10,0.005153895,0.000370635,0.066025954,0.006020174,1759.901375,71.645883,1764.413906,36.11931823,3608.169212,150.6353833,-19.15435814,-3.555820429,-3.673117887,-0.77143213,-1.779766743,-1.507587117,-1.408943058,0.034479687,-0.144702321,0.018072184,-0.717005795,-0.240741457,-0.184515848,0.287105085,0.241719947,0.230431446,0.184878758,0.190241277,0.169114526,0.160762653,0.161141144,0.15775475,0.144781629,0.128909137,0.122936819,0.105233244,-7.863785226,-7.510264468,-7.694865401,-7.3833013,-7.291243014,-7.65288244,-7.585925152,-7.553277512,-7.317199745,-7.341685694,-7.469181123,-7.285993068,-7.563501467,-7.7355196,-7.64621663,-7.466765377,-7.343991152,-7.779763355,-7.949164199,-7.823619785,-8.101923313,-8.102936116,-8.118570576,-8.481125345,-8.622443297,-8.59176349,-8.469343889,-8.299664874,-8.454884595,-8.515352438,-8.274196693,-8.341001858,-8.442300699,-8.390997007,-8.431262833,-8.648803269,-8.643836095,-8.68724837,-8.725515309,-8.795101294,-8.957508119,-8.919570675,-8.926918356,-9.125507002,-9.142541327,-9.254038774,-9.278381375,-9.341379342,-9.383913794,-9.49155782,-9.598263818,-9.630099385,-9.665165109,-9.669515089,-9.751660199,-9.786796744,-9.839019456,-9.883150462,-10.02403177,-10.17391246,-10.33407063,-10.41263596,-10.4328537,-10.53940864,0.366934145,0.35398637,0.306234083,0.293109232,0.3151391,0.302686472,0.330167139,0.32355382,0.327136893,0.333126959,0.27428157,0.313652422,0.267801554,0.295484395,0.262300046,0.281119662,0.315615904,0.260006658,0.27445836,0.274843411,0.264581255,0.242198895,0.27178588,0.241740039,0.219468462,0.25506494,0.237409986,0.223234137,0.217892433,0.208756087,0.232929776,0.196229418,0.189372205,0.194883648,0.241882823,0.189375435,0.184606408,0.186483365,0.176756908,0.189138698,0.167426065,0.194393873,0.192102092,0.14194058,0.156791627,0.168148654,0.167599684,0.162611169,0.151584669,0.148326491,0.140480368,0.139135684,0.138986166,0.142310603,0.137212486,0.132896669,0.123864229,0.123558987,0.133959285,0.114957788,0.122835724,0.119276695,0.113416027,0.123209809,1
00000006.wav,10,0.005158731,0.000413854,0.066254445,0.007004371,1761.614272,81.74342152,1768.890094,40.1337507,3620.126608,173.6318431,-19.20322988,-3.618950326,-3.673125865,-0.868070006,-1.940114171,-1.597372166,-1.441886738,-0.045852005,-0.285803811,0.027258322,-0.635735549,-0.197309095,-0.077157351,0.301160315,0.268266345,0.173732947,0.179329476,0.175705504,0.162890039,0.167006588,0.154450801,0.154700991,0.130680048,0.150105282,0.124420188,0.127611301,-7.802054174,-7.434542514,-7.454949822,-7.723831254,-7.687167387,-7.68043975,-7.617749197,-7.470889817,-7.222002193,-7.225622662,-7.448693524,-7.296030221,-7.582843582,-7.720778494,-7.656770488,-7.449775121,-7.316412282,-7.804014052,-7.929865886,-7.802576676,-8.1342598,-8.109641872,-8.081625084,-8.453562824,-8.631338461,-8.602764478,-8.463822435,-8.293709311,-8.455089313,-8.496297962,-8.323818158,-8.418489569,-8.461623528,-8.426882276,-8.488258124,-8.651973721,-8.647385701,-8.690235173,-8.726122749,-8.801761984,-8.921753367,-8.881633006,-8.926915355,-9.123765427,-9.152496141,-9.267834441,-9.262617428,-9.33335316,-9.40741152,-9.497682629,-9.59906768,-9.612996579,-9.642151644,-9.661170218,-9.746026065,-9.764315697,-9.83686438,-9.875573847,-10.03158301,-10.17337855,-10.33275779,-10.42862601,-10.40841646,-10.51744118,0.355874854,0.312701601,0.275177485,0.270780106,0.316918971,0.295195353,0.36044121,0.31334562,0.317593072,0.339073788,0.281371829,0.329512612,0.266344627,0.301773755,0.249425097,0.271697091,0.307727947,0.263844765,0.256629916,0.257228829,0.260298175,0.234122996,0.256889677,0.234674231,0.234002474,0.262848614,0.232285489,0.207700563,0.230649714,0.217140116,0.22420029,0.182724298,0.201992179,0.199335655,0.221746668,0.209868783,0.188341099,0.176327109,0.198649094,0.176374847,0.152609537,0.172100638,0.1933429,0.154997149,0.159878895,0.159466293,0.164294646,0.155386359,0.146266846,0.151734031,0.144018026,0.129295311,0.135216199,0.142215663,0.133533499,0.137441457,0.117458513,0.132513992,0.119915814,0.118484803,0.118830697,0.112813357,0.118429988,0.124937306,1
00000007.wav,10,0.005320339,0.000399485,0.066005609,0.006792396,1753.059983,75.95174569,1758.841901,35.8651952,3588.826367,155.3682757,-19.04163877,-3.603333911,-3.794005324,-0.972989451,-2.061563191,-1.763044694,-1.532329305,-0.097248387,-0.251535711,-0.030816845,-0.724956742,-0.195377855,-0.063127525,0.248706631,0.245990996,0.167844701,0.177228381,0.195196008,0.166013797,0.174062248,0.141153754,0.150650437,0.169593637,0.153610627,0.130765057,0.118832339,-7.855304422,-7.459574698,-7.510142536,-7.867378153,-7.737750687,-7.753388405,-7.582123919,-7.473945056,-7.168884931,-7.150016803,-7.411012242,-7.272531582,-7.584975588,-7.711574987,-7.552760449,-7.411721954,-7.284137717,-7.722972406,-7.903659865,-7.788777161,-8.085760544,-8.070644606,-8.040925031,-8.459803461,-8.684611298,-8.598437384,-8.461094067,-8.30843529,-8.438043839,-8.514591665,-8.256710288,-8.342072991,-8.455455873,-8.412145044,-8.443938279,-8.637636201,-8.634922536,-8.659140211,-8.697500898,-8.794191739,-8.922506747,-8.889829929,-8.906557203,-9.107806206,-9.140166132,-9.247524458,-9.235969656,-9.303795465,-9.395345169,-9.493057073,-9.602784443,-9.619718673,-9.645667402,-9.675029844,-9.750002723,-9.784656088,-9.826300975,-9.861595076,-10.01645735,-10.16607008,-10.33409174,-10.3982803,-10.40941696,-10.51721806,0.333742636,0.3470985,0.312562216,0.304663786,0.346324692,0.283239882,0.323944513,0.333703911,0.309590685,0.335290077,0.254827211,0.326832138,0.268786836,0.296107075,0.282058878,0.272796748,0.324437266,0.257158566,0.278308243,0.2724006,0.25087058,0.250205469,0.273803306,0.232826822,0.216847699,0.256682766,0.240268208,0.216972269,0.217552342,0.190518631,0.207912784,0.186444421,0.195649131,0.196251685,0.232117234,0.198490046,0.181277302,0.184909575,0.191221056,0.167816439,0.166802244,0.181875998,0.181852817,0.151972708,0.158109616,0.154484905,0.161151644,0.15554976,0.148531445,0.144622384,0.136166649,0.138994761,0.136260024,0.135583321,0.131541399,0.135823408,0.126977311,0.130705341,0.127678975,0.121893405,0.11478487,0.10968108,0.11653019,0.113146847,1
00000008.wav,10,0.005279463,0.000391583,0.06656901,0.006323476,1758.280324,77.24433053,1754.383275,34.64026544,3587.369373,159.4361103,-19.01105138,-3.662583283,-3.935085126,-1.114350941,-2.133474325,-1.71205638,-1.51387844,-0.13134133,-0.288843289,-0.051393113,-0.686138297,-0.154496886,-0.064499774,0.238759682,0.270821411,0.1837529,0.186002348,0.184341502,0.182706511,0.18083452,0.162352389,0.17510823,0.168269154,0.124949866,0.143041641,0.137749858,-7.784379358,-7.488192204,-7.606782941,-7.879649119,-7.812123346,-7.777612264,-7.619707754,-7.448590217,-7.183321692,-7.239351392,-7.43368703,-7.278023505,-7.581390377,-7.690456704,-7.512817089,-7.382971196,-7.290842781,-7.741322951,-7.898191761,-7.791185044,-8.063607021,-8.028690449,-7.987397372,-8.389763174,-8.593968073,-8.542553175,-8.430229252,-8.280428204,-8.442033944,-8.486415546,-8.270054794,-8.341843185,-8.437944349,-8.402353229,-8.44139303,-8.618965654,-8.637341831,-8.685504154,-8.711443811,-8.777348701,-8.925170402,-8.886996496,-8.909684115,-9.087789315,-9.13682745,-9.241679931,-9.23496161,-9.295892132,-9.394548326,-9.47866394,-9.583698528,-9.610938049,-9.635429949,-9.666741449,-9.750739418,-9.794517191,-9.819665876,-9.860767376,-10.0232221,-10.1576852,-10.33902195,-10.40734848,-10.40133919,-10.51289129,0.378023942,0.330001147,0.317651363,0.321547409,0.337946876,0.328068251,0.346693654,0.314852853,0.32514517,0.359131875,0.281947929,0.313460261,0.284331364,0.285082566,0.278933252,0.263090974,0.294759801,0.247986138,0.260530632,0.267171317,0.251014153,0.259481574,0.258065245,0.235370773,0.213795559,0.235146984,0.232952272,0.218372503,0.23594758,0.200949097,0.236197971,0.192685474,0.17441507,0.213292272,0.227302044,0.190848303,0.176364536,0.181051722,0.175608101,0.173867887,0.175131755,0.172050731,0.176480422,0.167502353,0.160955359,0.161919432,0.170100078,0.149512731,0.158008115,0.149311774,0.149297052,0.132572478,0.134951665,0.147545504,0.139596772,0.14171935,0.129902393,0.137936188,0.126050518,0.126033593,0.118939421,0.119305452,0.118072264,0.120280965,1
00000009.wav,10,0.005194717,0.000420435,0.065545498,0.006610419,1755.366417,77.610014,1772.603306,38.36294858,3615.755627,169.7567839,-19.17972258,-3.57140295,-3.566843153,-0.76940394,-1.88799707,-1.623797836,-1.450100425,-0.056554769,-0.26400265,-0.1337926,-0.861579576,-0.286869053,-0.186570678,0.305752963,0.244198201,0.173684968,0.170406672,0.193538309,0.159035851,0.141663535,0.138221055,0.141080665,0.138445463,0.117014466,0.12851711,0.137740364,-7.613988834,-7.52284412,-7.759573215,-7.602000334,-7.629926971,-7.291496587,-7.455946968,-7.572391648,-7.278962546,-7.202712121,-7.380875878,-7.342053017,-7.63084145,-7.763620598,-7.671196852,-7.460304892,-7.31427289,-7.770849058,-7.975902231,-7.863700038,-8.062373993,-8.103994889,-8.063321403,-8.51050507,-8.739805016,-8.658716871,-8.532882911,-8.315686718,-8.485603378,-8.558852204,-8.304055386,-8.381480071,-8.449007285,-8.397629528,-8.458713176,-8.639067469,-8.664088747,-8.713185903,-8.740974249,-8.776629592,-8.93801371,-8.908631762,-8.93984983,-9.12201519,-9.139841062,-9.253376589,-9.249398946,-9.308599595,-9.393578909,-9.485066304,-9.616862199,-9.645299058,-9.657922744,-9.669217407,-9.755878457,-9.784222416,-9.840182062,-9.869697721,-10.0083527,-10.16322533,-10.33348988,-10.40696836,-10.41825067,-10.51910547,0.374508117,0.337304749,0.281720747,0.331098093,0.277730198,0.253332469,0.294758186,0.316718371,0.299094412,0.349557409,0.275379081,0.310129474,0.26688048,0.309049517,0.280920453,0.278347811,0.298160641,0.245738137,0.263321067,0.291735046,0.289805514,0.251973239,0.270867465,0.235625107,0.249781911,0.250928677,0.247729668,0.205825727,0.216551509,0.213905858,0.22510479,0.201419645,0.209242585,0.195550622,0.218182715,0.189072008,0.176734626,0.195837769,0.203654947,0.176060616,0.167000034,0.186471517,0.188607014,0.161513678,0.174763291,0.165461284,0.157175238,0.149782658,0.144829014,0.144490737,0.156861804,0.146955533,0.155451317,0.143918382,0.137661621,0.134112454,0.136486805,0.134647532,0.156235997,0.129605291,0.121148459,0.116051875,0.117726601,0.122853032,1
