filename,duration,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,mfcc_mu_1,mfcc_mu_2,mfcc_mu_3,mfcc_mu_4,mfcc_mu_5,mfcc_mu_6,mfcc_mu_7,mfcc_mu_8,mfcc_mu_9,mfcc_mu_10,mfcc_mu_11,mfcc_mu_12,mfcc_mu_13,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,logmel_mu_band_1,logmel_mu_band_2,logmel_mu_band_3,logmel_mu_band_4,logmel_mu_band_5,logmel_mu_band_6,logmel_mu_band_7,logmel_mu_band_8,logmel_mu_band_9,logmel_mu_band_10,logmel_mu_band_11,logmel_mu_band_12,logmel_mu_band_13,logmel_mu_band_14,logmel_mu_band_15,logmel_mu_band_16,logmel_mu_band_17,logmel_mu_band_18,logmel_mu_band_19,logmel_mu_band_20,logmel_mu_band_21,logmel_mu_band_22,logmel_mu_band_23,logmel_mu_band_24,logmel_mu_band_25,logmel_mu_band_26,logmel_mu_band_27,logmel_mu_band_28,logmel_mu_band_29,logmel_mu_band_30,logmel_mu_band_31,logmel_mu_band_32,logmel_mu_band_33,logmel_mu_band_34,logmel_mu_band_35,logmel_mu_band_36,logmel_mu_band_37,logmel_mu_band_38,logmel_mu_band_39,logmel_mu_band_40,logmel_mu_band_41,logmel_mu_band_42,logmel_mu_band_43,logmel_mu_band_44,logmel_mu_band_45,logmel_mu_band_46,logmel_mu_band_47,logmel_mu_band_48,logmel_mu_band_49,logmel_mu_band_50,logmel_mu_band_51,logmel_mu_band_52,logmel_mu_band_53,logmel_mu_band_54,logmel_mu_band_55,logmel_mu_band_56,logmel_mu_band_57,logmel_mu_band_58,logmel_mu_band_59,logmel_mu_band_60,logmel_mu_band_61,logmel_mu_band_62,logmel_mu_band_63,logmel_mu_band_64,logmel_std_band_1,logmel_std_band_2,logmel_std_band_3,logmel_std_band_4,logmel_std_band_5,logmel_std_band_6,logmel_std_band_7,logmel_std_band_8,logmel_std_band_9,logmel_std_band_10,logmel_std_band_11,logmel_std_band_12,logmel_std_band_13,logmel_std_band_14,logmel_std_band_15,logmel_std_band_16,logmel_std_band_17,logmel_std_band_18,logmel_std_band_19,logmel_std_band_20,logmel_std_band_21,logmel_std_band_22,logmel_std_band_23,logmel_std_band_24,logmel_std_band_25,logmel_std_band_26,logmel_std_band_27,logmel_std_band_28,logmel_std_band_29,logmel_std_band_30,logmel_std_band_31,logmel_std_band_32,logmel_std_band_33,logmel_std_band_34,logmel_std_band_35,logmel_std_band_36,logmel_std_band_37,logmel_std_band_38,logmel_std_band_39,logmel_std_band_40,logmel_std_band_41,logmel_std_band_42,logmel_std_band_43,logmel_std_band_44,logmel_std_band_45,logmel_std_band_46,logmel_std_band_47,logmel_std_band_48,logmel_std_band_49,logmel_std_band_50,logmel_std_band_51,logmel_std_band_52,logmel_std_band_53,logmel_std_band_54,logmel_std_band_55,logmel_std_band_56,logmel_std_band_57,logmel_std_band_58,logmel_std_band_59,logmel_std_band_60,logmel_std_band_61,logmel_std_band_62,logmel_std_band_63,logmel_std_band_64,label
00000000.wav,10,0.006194472,0.000557019,0.062700321,0.005881151,1732.352427,78.04016083,1797.796208,39.54312389,3594.754823,175.2210806,-17.8743533,-3.18568697,-3.519795118,-1.948570169,-1.970267113,-1.241772679,-0.564328878,0.008579744,-0.54856136,-0.633372837,-0.594590455,0.032986367,0.175917585,0.350260282,0.286909576,0.26887365,0.292486196,0.212530101,0.240125178,0.2681348,0.13833358,0.231508163,0.230418681,0.11742079,0.163186097,0.186754532,-7.891791678,-7.534301125,-7.548640511,-7.389107181,-7.296584438,-7.366923358,-7.292077542,-7.614706659,-7.274565282,-7.176236868,-7.42771767,-7.360812165,-7.488559301,-7.501369741,-7.510543665,-7.150260338,-7.348777503,-7.71952423,-7.783851085,-7.803985148,-8.04214656,-7.226792932,-7.269452088,-8.415466129,-8.426077246,-8.278609739,-8.451784844,-8.322069096,-8.320215188,-8.515564302,-8.364300396,-8.419498368,-8.465329754,-8.376109466,-8.486540694,-8.65026371,-8.657816906,-8.717711991,-8.729910291,-8.834962613,-8.912034517,-8.883762405,-8.9372604,-9.141416704,-9.155206692,-9.256247485,-9.252337355,-9.335177947,-9.390512329,-9.45566489,-9.55826271,-9.531574759,-9.561118808,-9.646410281,-9.712943812,-9.745005689,-9.793662478,-9.834156835,-9.914927419,-9.910335096,-10.06635512,-10.15460074,-10.08913034,-10.27545423,0.372500075,0.378333296,0.367724128,0.358032298,0.392081428,0.32097355,0.33107704,0.295534819,0.309429419,0.382002702,0.279038211,0.328801728,0.270388642,0.304685611,0.252490916,0.317163456,0.292229215,0.242970129,0.264854434,0.271500814,0.244301561,0.37083301,0.359617378,0.237097397,0.225213428,0.245134079,0.227575144,0.218355082,0.231265827,0.201551173,0.230184538,0.201478088,0.213123051,0.206688582,0.208975074,0.188256882,0.190470074,0.180539944,0.190288686,0.171895967,0.161118698,0.182663065,0.195067961,0.163931181,0.1413167,0.154339726,0.16352384,0.153778551,0.152562217,0.147231627,0.139992105,0.151816415,0.140915635,0.128805137,0.126249913,0.142320364,0.135647882,0.13233128,0.115900616,0.12382488,0.123821485,0.117983236,0.117726089,0.108374766,1
00000001.wav,10,0.006451282,0.000505715,0.055800218,0.006092892,1599.31434,73.84324525,1728.711771,39.24349892,3358.872588,170.434022,-17.97617735,-2.581177041,-3.211603316,-0.585415487,-1.316546334,-0.615064219,-0.794640219,-0.07989308,-0.471791125,0.076846977,-0.20160338,0.11072227,-0.214149668,0.306897909,0.243806781,0.178988415,0.177883192,0.181001006,0.192940129,0.177107354,0.188772139,0.174610644,0.121462066,0.152443644,0.129862864,0.125003037,-7.166726626,-6.806144616,-7.037228127,-7.180377154,-7.081496877,-7.142398421,-7.235130163,-7.43689735,-7.205838786,-7.151525255,-7.294429124,-7.21398418,-7.48991316,-7.71875764,-7.607350027,-7.447987617,-7.375323805,-7.779887799,-7.911731211,-7.79005378,-7.951044403,-8.04365607,-8.032183353,-8.375175991,-7.943685398,-7.811385612,-8.314632057,-8.25283969,-8.43044757,-8.490659518,-8.297746911,-8.411704693,-8.469829313,-8.407044616,-8.4911668,-8.641407784,-8.647076271,-8.685236333,-8.684285754,-8.785662014,-8.918683189,-8.868049417,-8.930466243,-9.116284513,-9.125977109,-9.224711836,-9.202323384,-9.282648746,-9.375010713,-9.468138872,-9.558709802,-9.595209439,-9.617298064,-9.638134039,-9.742284043,-9.775296162,-9.817023965,-9.874589678,-10.00154375,-10.15621454,-10.3161909,-10.38094718,-10.3967106,-10.49835852,0.343201773,0.35306287,0.316544496,0.324054462,0.331545072,0.314446614,0.323048588,0.302812883,0.302607162,0.324816138,0.2750496,0.284804526,0.268510533,0.282638542,0.282172375,0.288160061,0.315616949,0.248530459,0.277958348,0.266498829,0.258412092,0.241627767,0.270833498,0.251186513,0.21895931,0.235493243,0.238303809,0.218777634,0.232440735,0.218583365,0.218121101,0.204129621,0.205110062,0.179351456,0.217366049,0.192648589,0.201570684,0.184621665,0.186946014,0.171983169,0.151891805,0.185901931,0.192340672,0.183748298,0.16823935,0.151817428,0.161075188,0.159600513,0.160483501,0.133434545,0.146391089,0.157062719,0.137757428,0.139998749,0.135176923,0.147560494,0.143176572,0.139192891,0.171854997,0.126465712,0.137014447,0.115141204,0.128392427,0.125325648,1
00000002.wav,10,0.006487549,0.000503995,0.055398012,0.006034904,1603.219758,76.96281784,1736.523826,36.83843395,3380.827974,166.5334119,-17.98565144,-2.59130922,-2.98139466,-0.319253679,-1.196383984,-0.771193592,-1.001064702,-0.042203535,-0.330926423,0.03750234,-0.512457271,-0.111615178,-0.272807542,0.287043653,0.250800277,0.189247797,0.187271405,0.18327673,0.166359493,0.195560011,0.146169246,0.142604377,0.115073521,0.115104848,0.115111806,0.13932228,-7.371548867,-6.908196486,-7.089330858,-7.045858612,-6.989819697,-6.927307457,-7.16635035,-7.441373203,-7.19220572,-7.080153566,-7.282766797,-7.214818671,-7.493366239,-7.745764581,-7.662476553,-7.462603834,-7.36568066,-7.748052499,-7.897558863,-7.823746345,-8.044999169,-8.056269711,-8.036024534,-8.357584887,-8.24131142,-8.190513395,-8.248738536,-8.202543104,-8.41005747,-8.45958918,-8.273936403,-8.364272156,-8.434592943,-8.367965153,-8.450369272,-8.654597841,-8.645641963,-8.671285133,-8.709434512,-8.78845975,-8.921397663,-8.87344756,-8.919395577,-9.125837119,-9.1292366,-9.210761776,-9.219302905,-9.269143932,-9.353993631,-9.46335076,-9.566059488,-9.59003514,-9.626448871,-9.635949468,-9.710588053,-9.762448051,-9.806681049,-9.834050945,-9.98140272,-10.1533448,-10.30050445,-10.37943812,-10.39366003,-10.4883791,0.372932685,0.370000401,0.271093,0.342490794,0.316048543,0.302608689,0.279480807,0.317266215,0.300328034,0.348523074,0.255350161,0.288345741,0.277634656,0.286663568,0.266932925,0.278930628,0.304259395,0.251981273,0.247434444,0.278787767,0.279387117,0.231305199,0.267220259,0.218201182,0.230302866,0.252967953,0.245939961,0.212074381,0.201762451,0.203582378,0.234833972,0.202288283,0.210665236,0.217602342,0.228246273,0.184292222,0.176149881,0.182886205,0.171703374,0.179453723,0.157752212,0.173653248,0.18548637,0.174446492,0.162919322,0.16826103,0.167887968,0.154335006,0.153297682,0.142630736,0.137179007,0.135775742,0.137237576,0.142720175,0.130216664,0.138482231,0.122023618,0.141696732,0.182462082,0.125020015,0.118563577,0.115121901,0.114346788,0.117668905,1
00000003.wav,10,0.006186698,0.000500888,0.063546988,0.00562756,1726.518212,73.4750191,1777.054128,38.54735806,3556.471061,170.4987462,-17.68550136,-3.200157197,-3.638589067,-1.640099167,-1.709798072,-1.124376187,-0.804503355,-0.07820654,-0.528127514,-0.33370554,-0.407837565,-0.003052429,-0.332788994,0.245676105,0.250500439,0.210598135,0.193760036,0.198648902,0.202747176,0.190209564,0.168163685,0.194310366,0.147713732,0.131413472,0.14653208,0.152436867,-7.927842356,-7.597238829,-7.602298445,-7.240039882,-7.09332831,-7.186318574,-7.478071826,-7.494860068,-7.247854023,-7.246575787,-7.433203817,-7.294981021,-7.53859667,-7.56889838,-7.424110996,-7.372740165,-7.074024627,-7.573863345,-7.871760463,-7.741162648,-8.053610059,-8.057535923,-7.849346564,-7.315387201,-7.974692031,-8.416030275,-8.316219786,-8.163006972,-8.429547701,-8.485769738,-8.207531825,-8.36689767,-8.441591606,-8.356434475,-8.411786432,-8.522699679,-8.576684934,-8.664290402,-8.713263279,-8.776563953,-8.908415769,-8.8987695,-8.908653877,-9.108611995,-9.125511559,-9.22831416,-9.221923416,-9.298229421,-9.369594592,-9.459213189,-9.547902397,-9.52305758,-9.545369419,-9.598721116,-9.69363821,-9.71198486,-9.779334371,-9.807534502,-9.902413741,-9.897821917,-10.1374139,-10.18919009,-10.17538782,-10.30854804,0.393627233,0.362643193,0.305459966,0.284352218,0.279702429,0.383832301,0.307012995,0.316669301,0.302109995,0.35705217,0.283057995,0.317728996,0.266222924,0.295236911,0.280737138,0.239255987,0.347264787,0.282403731,0.245275169,0.283783965,0.237865194,0.248156377,0.247258671,0.367069748,0.254574666,0.228150882,0.246098589,0.223907113,0.216264268,0.220297476,0.227383721,0.174920157,0.194166436,0.187460527,0.224720229,0.204550063,0.187330352,0.17211174,0.193414459,0.174403841,0.171182926,0.187637167,0.194656771,0.167918515,0.158188091,0.153730144,0.161852545,0.159711788,0.149536846,0.149997913,0.148361064,0.153692055,0.142871844,0.138586335,0.134537068,0.136096017,0.124306603,0.131554821,0.110730999,0.129789294,0.114546037,0.11627752,0.110206965,0.120676703,1
00000004.wav,10,0.006328535,0.000708134,0.05862818,0.008577458,1713.11344,120.3008518,1827.841423,78.79953866,3641.127412,289.732194,-17.88861388,-3.17549954,-2.708737427,-0.787590507,-1.415217084,-1.360991992,-0.979984339,0.109296962,-0.086109307,-0.100479058,-0.47225078,-0.084495109,0.05829945,0.382700653,0.511422825,0.300851136,0.283436315,0.260784828,0.192166874,0.171426388,0.179385979,0.172654835,0.1611548,0.134189861,0.167314922,0.149773631,-7.648324648,-7.008880558,-7.038277954,-7.328229355,-7.044387094,-7.287261035,-7.392607529,-7.409719228,-7.233991248,-7.193625036,-7.191516627,-7.060771415,-7.510626879,-7.665062345,-7.581345044,-7.40526993,-7.325847892,-7.752554378,-7.808684527,-7.667110683,-7.978177779,-8.007565795,-7.982719344,-8.334581214,-8.488734363,-8.45062157,-8.473139457,-8.311109229,-8.439513125,-8.498168474,-8.314088148,-8.374008133,-8.442599684,-8.404348064,-8.441402232,-8.604990309,-8.636329815,-8.655955272,-8.686886951,-8.774728352,-8.922350605,-8.89636431,-8.93110001,-9.08611369,-9.131848175,-9.230653384,-9.226105481,-9.27873287,-9.349992599,-9.421433384,-9.52136051,-9.541684485,-9.56262628,-9.593371841,-9.655071488,-9.683836013,-9.727601067,-9.775068556,-9.878867035,-9.982509461,-10.09049741,-10.12708364,-10.1196753,-10.22685437,0.399925528,0.439294972,0.417441314,0.342030336,0.420180949,0.301104879,0.335726525,0.297309182,0.320058462,0.343508799,0.305910235,0.320814901,0.275272427,0.285986267,0.272512133,0.277834365,0.294846832,0.260707253,0.268009452,0.297309808,0.270703126,0.248851821,0.248472589,0.225408605,0.265041775,0.270352277,0.230797342,0.214307756,0.220668182,0.219019228,0.239653555,0.198226519,0.192468884,0.192640924,0.228854748,0.198674965,0.185916229,0.199230329,0.175772276,0.165708052,0.169964516,0.172902913,0.192412386,0.150267193,0.149625412,0.159277287,0.174508992,0.154190875,0.157621257,0.179659196,0.165789504,0.156025369,0.161673919,0.159624203,0.164875506,0.160503099,0.155256485,0.160921985,0.17165746,0.169113292,0.202359278,0.210321681,0.209217979,0.232475177,1
00000005.wav,10,0.006530889,0.000586321,0.056308844,0.005832226,1720.899641,71.5569845,1788.275001,39.52368279,3588.223473,162.2708266,-18.01689404,-3.049430958,-2.91114928,-0.587632238,-1.584986325,-1.360258501,-0.971309827,0.307681961,0.272359709,0.161155921,-0.787004307,-0.549169856,-0.544617257,0.294727063,0.225056813,0.199755971,0.196371,0.194637464,0.152732388,0.151363437,0.176600607,0.195957921,0.145983538,0.123048172,0.125602705,0.107799408,-8.221113786,-7.755531557,-7.769500296,-6.63867408,-6.600574767,-7.652598773,-7.630064912,-7.380351582,-7.112720272,-7.296663331,-7.477731526,-7.289283772,-7.57663405,-7.705696549,-7.622207176,-7.270547286,-6.838908225,-7.587277733,-7.91539874,-7.80835344,-8.118069979,-8.048925845,-8.074947959,-8.488504631,-8.619028925,-8.53462318,-8.390361435,-8.291390641,-8.449311975,-8.508803601,-8.260491059,-8.331112667,-8.428374658,-8.384352528,-8.419050123,-8.636730526,-8.625679167,-8.667658863,-8.713230751,-8.780022674,-8.930730797,-8.890786628,-8.890634067,-9.051181051,-9.043617219,-9.147436896,-9.222074031,-9.290763518,-9.341900737,-9.447882953,-9.54586044,-9.547042703,-9.589212978,-9.615032006,-9.697225952,-9.735408993,-9.781971837,-9.819750748,-9.917005161,-10.0194085,-10.17735778,-10.26461297,-10.24307539,-10.3965177,0.374119859,0.350752226,0.316216812,0.185382589,0.204534682,0.258398923,0.34746365,0.300250372,0.317697805,0.33239283,0.271542767,0.319969305,0.263856889,0.278140428,0.263115146,0.26967926,0.356736283,0.269403487,0.267461657,0.279883326,0.247228488,0.259188653,0.275000801,0.238516582,0.220204376,0.255927622,0.24408032,0.231735626,0.220072803,0.21527341,0.221880179,0.193189534,0.185778442,0.192878305,0.236377869,0.193052122,0.185506198,0.188933825,0.175554219,0.187199478,0.171834552,0.189713793,0.198674392,0.147283889,0.165399215,0.153594473,0.170704926,0.155523836,0.148500728,0.140945661,0.137426912,0.141257446,0.142340461,0.142361681,0.135558173,0.138687182,0.122371046,0.120319884,0.123673463,0.125615566,0.122879187,0.125803589,0.113988576,0.124358563,1
00000006.wav,10,0.006546866,0.000535726,0.055635892,0.006478195,1578.677765,76.43091737,1711.984205,38.483325,3295.56873,162.0589217,-17.97837178,-2.50667409,-3.143977925,-0.453622445,-1.568370319,-1.185257382,-1.224962913,-0.054153831,-0.318722529,0.059997154,-0.570241345,-0.185996765,-0.128183895,0.277718709,0.24333217,0.20189353,0.185666876,0.161073861,0.172538275,0.181623925,0.161848317,0.157595963,0.132060473,0.142755708,0.130299371,0.119963631,-7.294038998,-6.979853187,-7.029190843,-7.301294152,-7.170280775,-7.265995782,-7.287024177,-7.253288012,-6.911218504,-7.034201886,-7.317431832,-7.175057035,-7.406835295,-7.518501218,-7.498765266,-7.396524785,-7.289148057,-7.711740505,-7.797072688,-7.730606611,-7.994473125,-8.036047762,-8.000618245,-8.300643055,-8.427953087,-8.37170559,-8.336052338,-8.22065447,-8.314451858,-8.389858925,-8.283760164,-8.372235364,-8.41269636,-8.393115222,-8.452072227,-8.611483949,-8.622814583,-8.673919526,-8.69943848,-8.75936002,-8.876504897,-8.843714331,-8.901717285,-9.089280526,-9.121451148,-9.227912523,-9.232486323,-9.293297677,-9.377751222,-9.478720913,-9.576797026,-9.585856199,-9.623140149,-9.644872997,-9.737732297,-9.755812081,-9.828961506,-9.86873356,-10.02894895,-10.16771678,-10.3270608,-10.42285725,-10.40718637,-10.5184043,0.345941258,0.336436105,0.318085234,0.291433287,0.341071672,0.295444148,0.316288449,0.296195583,0.338280828,0.302857367,0.303451804,0.327517172,0.257876177,0.269254086,0.25735188,0.269987949,0.308481684,0.259131376,0.255547691,0.249725401,0.259419066,0.240406194,0.253866868,0.229369984,0.229208465,0.239462949,0.226590127,0.212968605,0.231386849,0.211574429,0.221900011,0.178028156,0.195336789,0.206177969,0.222168745,0.192708144,0.184095525,0.175918399,0.197724441,0.18746584,0.15694188,0.17407516,0.189904535,0.159311963,0.162982611,0.157148875,0.165527918,0.149272196,0.144704216,0.147131411,0.141739351,0.133835235,0.134104893,0.136768864,0.136238781,0.130172873,0.113152064,0.128554075,0.121048456,0.116686781,0.116779032,0.10745858,0.115722313,0.125920429,1
00000007.wav,10,0.006637997,0.000545106,0.061244867,0.005599286,1706.392173,67.97411067,1774.474559,39.55820911,3528.084807,164.9212785,-17.41532039,-3.053715335,-3.546458279,-1.859157435,-2.104297355,-1.465509464,-0.762139217,0.25067162,-0.204732864,-0.421980853,-0.74901074,-0.150585186,-0.04555048,0.263174573,0.232885115,0.203559688,0.304749634,0.231405966,0.196152313,0.256400326,0.145646676,0.169360365,0.164669854,0.107297678,0.160213642,0.168406531,-7.942888532,-7.475194601,-7.524809843,-7.370826026,-7.145595282,-7.345299162,-7.38874959,-7.449959631,-7.203653341,-7.171964246,-7.41593424,-7.269444191,-7.496862305,-7.580729334,-7.561959059,-6.907084767,-6.911696742,-7.610236222,-7.75116308,-7.711565502,-8.001421622,-7.25898866,-7.365066319,-8.400876196,-8.549548164,-8.398935474,-8.420319018,-8.274005319,-8.325766667,-8.473855474,-8.232280471,-8.317765459,-8.409109327,-8.27172289,-8.398920174,-8.624516658,-8.624348644,-8.653519187,-8.67425457,-8.776279826,-8.899315491,-8.875536854,-8.903308585,-9.093254127,-9.121608424,-9.226939897,-9.209070415,-9.273669779,-9.350798218,-9.443778758,-9.525917252,-9.499858247,-9.556419893,-9.605865253,-9.678536723,-9.701351887,-9.753880317,-9.780280594,-9.870206985,-9.910117941,-10.1145132,-10.16421094,-10.1111517,-10.29304611,0.371485756,0.366067245,0.315748074,0.316729593,0.374922207,0.30115332,0.31843963,0.310949446,0.308834091,0.319395339,0.256295491,0.303090213,0.272227418,0.307159032,0.249573959,0.259825553,0.27224176,0.248145765,0.254050792,0.284330438,0.22282099,0.366121263,0.351603096,0.231362201,0.221323315,0.253904411,0.232062932,0.211995478,0.20900742,0.193008466,0.20237534,0.184083316,0.189288002,0.203245495,0.227770927,0.196711077,0.185337175,0.183396857,0.184455929,0.162963855,0.170006913,0.189063853,0.177284526,0.152082349,0.161124404,0.154022005,0.157859576,0.158450507,0.143922075,0.140995816,0.138618722,0.144789148,0.141161017,0.130729919,0.133554618,0.138300804,0.12845925,0.12631145,0.122179163,0.133532382,0.119213674,0.107048351,0.117522933,0.116758226,1
00000008.wav,10,0.006327694,0.000492129,0.063246507,0.006108412,1728.596044,73.5993849,1783.368227,41.4636435,3573.754019,175.6743344,-17.62172668,-3.225003282,-3.554062616,-1.764065281,-2.03219565,-1.421227429,-0.796900438,0.157715181,-0.251097909,-0.441557731,-0.699038206,0.037061474,0.252431487,0.241520989,0.262005198,0.215812073,0.199489339,0.182548194,0.204554245,0.241517544,0.143801254,0.174297425,0.209778804,0.130942525,0.128701389,0.144138374,-7.904063924,-7.497545361,-7.519748468,-7.32883843,-7.136094543,-7.499302135,-7.554426146,-7.490500151,-7.207835145,-7.247911839,-7.401586483,-7.270907411,-7.337099582,-7.537420137,-7.310974583,-7.161504784,-7.276552435,-7.622501631,-7.861800819,-7.777867078,-7.707746001,-7.078999204,-7.708840688,-8.392335421,-8.378327782,-8.383820998,-8.454612604,-8.254302986,-8.399535483,-8.509838792,-8.252643559,-8.26184136,-8.360449876,-8.308704588,-8.440187566,-8.615437076,-8.632402108,-8.672737199,-8.705792109,-8.774481583,-8.895804973,-8.872722677,-8.900948818,-9.077478837,-9.122998079,-9.221553459,-9.215949758,-9.267202359,-9.360789152,-9.429992555,-9.52166279,-9.49903701,-9.550890585,-9.60886271,-9.686379815,-9.722130495,-9.74992057,-9.791037582,-9.881464042,-9.900491988,-10.11998819,-10.15724368,-10.13898316,-10.27132579,0.344353249,0.333849286,0.322917252,0.32851891,0.347276717,0.269176827,0.318852238,0.328746568,0.321790267,0.357488011,0.283066616,0.304238109,0.301754269,0.264080541,0.2833805,0.284963671,0.286125379,0.249898861,0.248994342,0.276507282,0.289335103,0.370400763,0.256593065,0.234248603,0.233912839,0.247091366,0.230814811,0.210263107,0.220840448,0.20339016,0.227660102,0.207706821,0.182384601,0.222321214,0.217718858,0.186512699,0.181723889,0.184274397,0.184494756,0.171200544,0.170342297,0.170793019,0.173705884,0.165339306,0.160009427,0.159383139,0.164321663,0.157036429,0.158223411,0.145531714,0.142627107,0.140206169,0.134149539,0.134419354,0.133242285,0.142253681,0.124556472,0.1300171,0.123265546,0.123450316,0.120530099,0.118596523,0.119067357,0.122161502,1
00000009.wav,10,0.006444581,0.000529687,0.057553022,0.006641032,1654.710962,81.32469238,1763.977968,41.77431304,3480.104502,179.1833489,-17.66135694,-2.918620029,-3.098545945,-0.534135911,-1.214869363,-0.803290195,-0.871824042,-0.018191383,-0.239710551,0.046842164,-0.394066713,-0.031414765,-0.270464017,0.288104019,0.282941281,0.193072405,0.198757128,0.192614495,0.176686542,0.155397478,0.154560516,0.16566279,0.12601338,0.121466388,0.127820508,0.129962645,-7.336773205,-6.855401089,-7.017816431,-7.115050554,-7.088063893,-7.210490928,-7.128447022,-7.394343684,-7.21788493,-7.130557325,-7.361396483,-7.270828905,-7.483916421,-7.69064648,-7.634439154,-7.438767462,-7.297946177,-7.689740245,-7.887122097,-7.84026752,-8.010672431,-8.012966887,-7.983934919,-8.338001307,-8.142491062,-8.05587229,-8.261559896,-8.193687388,-8.395102024,-8.438730147,-8.251812227,-8.339370349,-8.393647833,-8.34786503,-8.41209213,-8.584471126,-8.595465779,-8.651409873,-8.676659655,-8.73390103,-8.883019878,-8.855155911,-8.900595128,-9.066236213,-9.076683678,-9.178831205,-9.168195963,-9.214914911,-9.310098382,-9.406648013,-9.525540037,-9.569569672,-9.581351347,-9.596704725,-9.682390732,-9.71761132,-9.768779631,-9.795104751,-9.911845607,-10.04756982,-10.19562287,-10.27206735,-10.29313258,-10.40329078,0.340206775,0.376940048,0.332849904,0.353541192,0.336457462,0.310311999,0.317429124,0.302570744,0.317457214,0.320266895,0.260966655,0.28418051,0.267558017,0.2994384,0.293255216,0.286083242,0.308283359,0.251049565,0.255636304,0.286237147,0.249674323,0.239885853,0.265389747,0.228409793,0.247587206,0.246252924,0.230835124,0.204343486,0.214723517,0.223656895,0.218159631,0.192852149,0.209068646,0.193483781,0.214501368,0.189569987,0.181766041,0.196798316,0.197858742,0.168446193,0.154780458,0.179704437,0.190305468,0.167793191,0.162476598,0.158407829,0.151488674,0.155110094,0.146554703,0.143828123,0.151293974,0.15139222,0.144392162,0.142706152,0.132492864,0.129897266,0.132951632,0.147492355,0.178442671,0.126791369,0.122462371,0.117941146,0.129653927,0.129212167,1
